full_name,gender,certainty
Bill Paxton,m,1.0
Bill Pohlad,m,1.0
Bill Raden,m,1.0
Bille August,m,0.69
Bille Woodruff,m,0.69
Billy Bob Thornton,m,0.98
Billy Campbell,m,0.98
Billy Connolly,m,0.98
Billy Crudup,m,0.98
Billy Crystal,m,0.98
Billy Frolick,m,0.98
Billy Mitchell,m,0.98
Billy Ray,m,0.98
Billy Ray Cyrus,m,0.98
Bimbo Hart,m,0.77
Bin Li,m,0.95
Bindu De Stoppani,f,0.95
Bingbing Li,f,0.79
Birol Ünel,m,0.98
Björk,f,0.78
Björn Runge,m,1.0
Björn Stein,m,1.0
Blair Underwood,m,0.66
Blake Anderson,m,0.96
Blake Jenner,m,0.96
Blake Lively,m,0.96
Blake Masters,m,0.96
Blanca Suárez,f,0.99
Blanchard Ryan,m,0.91
Blanka Györfi-Tóth,f,0.99
Bo Burnham,m,0.77
Bo Welch,m,0.77
Bo Zenga,m,0.77
Boaz Yakin,m,1.0
Bob Balaban,m,0.99
Bob Barlen,m,0.99
Bob DeRosa,m,0.99
Bob Dolman,m,0.99
Bob Fisher,m,0.99
Bob Fosse,m,0.99
Bob Kane,m,0.99
Bob Nelson,m,0.99
Bob Odenkirk,m,0.99
Bob Persichetti,m,0.99
Bob Peterson,m,0.99
Bob Schooley,m,0.99
Bobby Campo,m,0.98
Bobby Farrelly,m,0.98
Bodil Steensen-Leth,f,0.99
Bong Joon Ho,m,0.9
Bonnie Aarons,f,0.99
Bonnie Hunt,f,0.99
Boots Riley,m,0.61
Bora Dagtekin,m,0.89
Borja Cobeaga,m,0.99
Boyd Holbrook,m,1.0
Bozhao Wang,m,0.89
Brad Anderson,m,1.0
Brad Bird,m,1.0
Brad Copeland,m,1.0
Brad Desch,m,1.0
Brad Dourif,m,1.0
Brad Furman,m,1.0
Brad Ingelsby,m,1.0
Brad Miska,m,1.0
Brad Peyton,m,1.0
Brad Pitt,m,1.0
Brad Rowe,m,1.0
Brad Silberling,m,1.0
Bradford Lewis,m,1.0
Bradley Cooper,m,1.0
Bradley Parker,m,1.0
Brady Corbet,m,0.99
Bragi F. Schut,m,0.96
Brandon Boyce,m,1.0
Brandon Camp,m,1.0
Brandon Gerald Fuller,m,1.0
Brandon McGibbon,m,1.0
Brandon Routh,m,1.0
Brandon T. Jackson,m,1.0
Breck Eisner,m,0.87
Breckin Meyer,m,0.69
Brenda Blethyn,f,1.0
Brenda Chapman,f,1.0
Brenda Song,f,1.0
Brendan Fletcher,m,1.0
Brendan Fraser,m,1.0
Brendan Gleeson,m,1.0
Brendan Hood,m,1.0
Brendan McCarthy,m,1.0
Brendan Moore,m,1.0
Brendan O'Brien,m,1.0
Brent Bonacorso,m,1.0
Brent Hanley,m,1.0
Brent Simons,m,1.0
Brenton Thwaites,m,1.0
Bret Easton Ellis,m,0.99
Brett Haley,m,1.0
Brett Halliday,m,1.0
Brett Ratner,m,1.0
Brett Sullivan,m,1.0
Brian A. Miller,m,1.0
Brian Aldiss,m,1.0
Brian Augustyn,m,1.0
Brian Azzarello,m,1.0
Brian Bloom,m,1.0
Brian Boland,m,1.0
Brian Bolland,m,1.0
Brian Burns,m,1.0
Brian Cox,m,1.0
Brian Dannelly,m,1.0
Brian De Palma,m,1.0
Brian Duffield,m,1.0
Brian Fee,m,1.0
Brian Gatewood,m,1.0
Brian Goodman,m,1.0
Brian Gray,m,1.0
Brian Gunn,m,1.0
Brian Hayes Currie,m,1.0
Brian Helgeland,m,1.0
Brian Henson,m,1.0
Brian Kehoe,m,1.0
Brian King,m,1.0
Brian Klugman,m,1.0
Brian Koppelman,m,1.0
Brian Levant,m,1.0
Brian Lynch,m,1.0
Brian Miller,m,1.0
Brian Nelson,m,1.0
Brian O'Halloran,m,1.0
Brian Patrick O'Toole,m,1.0
Brian Percival,m,1.0
Brian Robbins,m,1.0
Brian Selznick,m,1.0
Brian Taylor,m,1.0
Briana Evigan,f,1.0
Brianne Davis,f,1.0
Bridget Fonda,f,1.0
Bridget Moynahan,f,1.0
Bridget O'Connor,f,1.0
Bridgette Barrett,f,1.0
Brie Larson,f,0.97
Brit Marling,f,0.85
Britney Spears,f,0.99
Britt Robertson,f,0.92
Brittany Murphy,f,1.0
Brittany Snow,f,1.0
Brock Norman Brock,m,1.0
Brooklynn Prince,f,0.99
Brooks Ryan,m,0.9
