full_name,gender,certainty
Cormac Wibberley,m,1.0
Shonda Rhimes,f,0.99
Chris Peckover,m,0.91
Spike Jonze,m,0.97
Doug Langdale,m,1.0
John Musker,m,1.0
Joel Kinnaman,m,0.99
Kayla Servi,f,1.0
Peter Care,m,1.0
Anson Mount,m,0.97
Peter A. Dowling,m,1.0
Kumail Nanjiani,m,0.99
Mindy Kaling,f,1.0
Jon Croker,m,0.99
Todd Kessler,m,1.0
Ghilherme Lobo,m,1.0
Ane Dahl Torp,f,0.91
Priyadarshan,m,0.97
Jessica Paré,f,1.0
Gregory Nava,m,1.0
Tony Mendez,m,0.99
Alec Berg,m,0.97
Salman Khan,m,0.98
Shane Acker,m,0.97
Candace Bushnell,f,1.0
Jeremy Irons,m,1.0
Emily Perkins,f,1.0
Sherry White,f,0.99
Helen Hunt,f,1.0
Victoria Strouse,f,0.99
Charles McKeown,m,1.0
Wyatt Russell,m,1.0
Vidya Balan,f,0.97
Nicholas Tucci,m,1.0
Laura Kasischke,f,0.99
Plan B,m,0.76
"Kyle Balda, Pierre Coffin",m,0.99
Marie-Sophie Ferdane,f,0.98
Alex Pettyfer,m,0.95
Juan Mayorga,m,0.99
Josh Malerman,m,1.0
Guillermo Arriaga,m,1.0
Daniel Espinosa,m,0.99
Joe Barton,m,0.99
Taylor Simpson,f,0.6
Mordecai Richler,m,0.99
Arash Amel,m,0.99
Maurice Chauvet,m,0.99
Daniel Nettheim,m,0.99
Joe Hill,m,0.99
Anaïs Reboux,f,0.99
Larysa Kondracki,f,0.99
Bonnie Aarons,f,0.99
Mariya Smolnikova,f,0.97
Andy Paterson,m,0.96
Misty Upham,f,0.99
James Corden,m,1.0
Shinji Mikami,m,0.99
Alison Deegan,f,0.98
Scott Kosar,m,1.0
Gabriel Cowan,m,0.99
Damon Beesley,m,1.0
Ranveer Singh,m,0.99
Stéphane Cabel,m,0.99
Adam Herz,m,0.98
Eric Bauza,m,1.0
Michele Alexander,f,0.54
Damien Marzette,m,1.0
Auli'i Cravalho,f,1.0
Walter Isaacson,m,1.0
Fanny Ardant,f,0.99
C.S. Forester,m,0.83
Jacob Pitts,m,1.0
Terence Rattigan,m,1.0
Cornell Woolrich,m,0.95
John Samaha,m,1.0
David Strathairn,m,1.0
Missy Peregrym,f,0.99
Matthew Parkhill,m,1.0
Nicholas Hoult,m,1.0
Odessa Young,f,0.98
Ben Roberts,m,0.98
Cliff Curtis,m,1.0
Jason Biggs,m,1.0
Herbert W. Ankrom,m,1.0
Raquel Alessi,f,0.99
Jessica Chastain,f,1.0
Matthew Robbins,m,1.0
Michael Ellis,m,1.0
A.J. Cook,m,0.93
Paul Guyot,m,1.0
Red Madrell,m,0.76
Maggie Smith,f,1.0
Dome Karukoski,m,0.89
Mark Lewis Jones,m,1.0
Mina E. Mina,f,0.64
Jon Ronson,m,0.99
Alan Rickman,m,1.0
Felicity Jones,f,0.99
Hayden Panettiere,m,0.91
Ansel Elgort,m,0.95
Lily Franky,f,0.99
Kathleen Rose Perkins,f,1.0
Tim Sheridan,m,1.0
Judy Greer,f,1.0
Jonathan Demme,m,1.0
Jean-Pierre Améris,m,1.0
"Glenn Ficarra, John Requa",m,1.0
Rihanna,f,0.98
Gia Coppola,f,0.82
Aya Ueto,f,0.96
Liam Neeson,m,0.99
Paul Lovett,m,1.0
Eleanor Catton,f,1.0
Tony Gayton,m,0.99
Hiromasa Yonebayashi,m,1.0
Philip K. Dick,m,1.0
Tom Kane,m,0.99
Jamie Linden,m,0.66
Natalie Press,f,1.0
Jason Fuchs,m,1.0
Mike Birbiglia,m,1.0
Stephen Hopkins,m,1.0
Greyson Chadwick,m,0.99
Karl Davies,m,0.99
Michael Cooney,m,1.0
Ronnie Sandahl,m,0.92
Sajid Ali,m,0.98
Carey Van Dyke,f,0.54
Mark Cullen,m,1.0
Clémence Poésy,f,1.0
Baki Davrak,m,0.97
"Chuck Konzelman, Cary Solomon",m,1.0
Tina Fey,f,0.99
Robert B. Weide,m,1.0
Steven Caple Jr.,m,1.0
Lorenza Izzo,f,0.98
Matt Lieberman,m,1.0
Burr Steers,m,0.97
Logan Sparks,m,0.93
Randall Wallace,m,1.0
Daniel Brühl,m,0.99
Jerry Seinfeld,m,0.99
Maury Sterling,m,0.84
Sara B. Cooper,f,0.98
Matthew Vaughn,m,1.0
Saffron Burrows,f,0.97
Kevin Bisch,m,1.0
Daniel Betts,m,0.99
Vikram Weet,m,1.0
Mae Whitman,f,0.97
Olivier Nakache,m,0.99
Al Pacino,m,0.94
Frances O'Connor,f,0.99
Clio Barnard,f,0.66
José Padilha,m,0.98
"Cody Cameron, Kris Pearn",m,0.99
Geoffrey Rush,m,1.0
Zoe Margaret Colletti,f,0.98
Richard Wilson,m,1.0
Emily Browning,f,1.0
Seth Grossman,m,1.0
Toby Harvard,m,0.91
Waad Mohammed,f,0.91
Art Parkinson,m,0.97
Gian Keys,m,0.99
Lennart Ruff,m,1.0
Jodelle Ferland,f,0.95
William Goldman,m,1.0
Francisco Rabal,m,1.0
Ayane Sakura,f,0.93
Luke Greenfield,m,1.0
Adam Kreutner,m,0.98
Leonardo Sbaraglia,m,1.0
Zoey Deutch,f,0.98
Madison Wolfe,f,0.99
Lynn Xiong,f,0.94
Eduardo Noriega,m,1.0
John D. O'Connor,m,1.0
Will Gluck,m,0.99
Lucía Puenzo,f,0.99
Hajime Yatate,m,0.99
Dax Shepard,m,0.97
Sara Sohn,f,0.98
J.J. Abrams,m,0.89
Paddy Considine,m,0.95
J.H. Wyman,m,0.86
Robert Hamner,m,1.0
Eero Milonoff,m,1.0
Brian Lynch,m,1.0
Stiles White,m,0.9
Steve McQueen,m,1.0
Gerald Clarke,m,1.0
Richard Maltby Jr.,m,1.0
Scott Derrickson,m,1.0
Nelson Greaves,m,0.99
John W. Richardson,m,1.0
Thomas Dean Donnelly,m,1.0
Da-wit Lee,u,0.0
Jay Hernandez,m,0.97
Aya Ueto,f,0.96
Nele Trebs,f,0.93
Siddharth,m,1.0
Panna Rittikrai,f,0.67
Angel Gracia,m,0.78
Benjamin Walker,m,1.0
"Chris Weitz, Paul Weitz",m,0.91
Cecelia Ann Birt,f,1.0
Dennis McNicholas,m,0.99
Frank Darabont,m,1.0
Jason Moore,m,1.0
Kinji Fukasaku,m,0.95
Shawn Rasmussen,m,0.94
Mark Addy,m,1.0
Jantje Friese,f,0.52
Lisa Houle,f,1.0
Hari,m,0.98
Claude Baz Moussawbaa,m,0.93
Craig Gellis,m,1.0
Steve Trenbirth,m,1.0
